Designator,Mid X,Mid Y,Rotation,Layer
D1,-146.057,61.77,0.0,top
D10,-89.057,49.87,0.0,top
D11,-70.057,47.57,0.0,top
D12,-50.957,45.17,0.0,top
D13,-146.057,23.87,0.0,top
D14,-127.057,23.77,0.0,top
D15,-108.057,28.57,0.0,top
D16,-89.057,30.87,0.0,top
D17,-69.957,28.57,0.0,top
D18,-50.957,26.17,0.0,top
D19,-79.557,8.87,0.0,top
D2,-126.857,61.77,0.0,top
D20,-57.917,5.93,345.0,top
D21,-40.387,-1.14,60.0,top
D22,110.543,61.87,0.0,top
D23,91.543,61.77,0.0,top
D24,72.443,66.47,0.0,top
D25,53.543,68.97,0.0,top
D26,34.543,66.57,0.0,top
D27,15.543,64.17,0.0,top
D28,110.543,42.77,0.0,top
D29,91.443,42.77,0.0,top
D3,-107.957,66.57,0.0,top
D30,72.543,47.57,0.0,top
D31,53.443,49.87,0.0,top
D32,34.543,47.57,0.0,top
D33,15.443,45.17,0.0,top
D34,110.543,23.77,0.0,top
D35,91.443,23.77,0.0,top
D36,72.543,28.57,0.0,top
D37,53.543,30.87,0.0,top
D38,34.543,28.57,0.0,top
D39,15.443,26.17,0.0,top
D4,-88.857,68.97,0.0,top
D40,44.043,8.97,0.0,top
D41,22.413,6.29,15.0,top
D42,4.123,-2.41,300.0,top
D5,-69.937,66.57,0.0,top
D6,-50.857,64.17,0.0,top
D7,-145.957,42.87,0.0,top
D8,-127.057,42.77,0.0,top
D9,-107.957,47.57,0.0,top
MOUSE-BITE-2MM-SLOT_8,-146.657,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_7,109.743,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_6,-108.757,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_5,71.893,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_4,33.893,73.47,0.0,top
MOUSE-BITE-2MM-SLOT_3,71.893,73.47,0.0,top
MOUSE-BITE-2MM-SLOT_2,-70.857,73.47,0.0,top
MOUSE-BITE-2MM-SLOT,-108.757,73.47,0.0,top
RSW1,-94.157,13.47,126.0,top
RSW2,57.343,13.27,231.0,top
SW1,-146.757,59.37,0.0,top
SW10,-89.757,47.495,0.0,top
SW11,-70.757,45.12,0.0,top
SW12,-51.757,42.745,0.0,top
SW13,-146.757,21.37,0.0,top
SW14,-127.757,21.37,0.0,top
SW15,-108.757,26.12,0.0,top
SW16,-89.757,28.495,0.0,top
SW17,-70.757,26.12,0.0,top
SW18,-51.757,23.745,0.0,top
SW19,-80.257,6.495,0.0,top
SW2,-127.757,59.37,0.0,top
SW20,-59.257,3.745,345.0,top
SW21,-38.607,-3.005,60.0,top
SW22,109.75,59.375,0.0,top
SW23,90.75,59.375,0.0,top
SW24,71.75,64.125,0.0,top
SW25,52.75,66.5,0.0,top
SW26,33.75,64.125,0.0,top
SW27,14.743,61.745,0.0,top
SW28,109.75,40.375,0.0,top
SW29,90.75,40.375,0.0,top
SW3,-108.757,64.12,0.0,top
SW30,71.75,45.125,0.0,top
SW31,52.75,47.5,0.0,top
SW32,33.75,45.125,0.0,top
SW33,14.75,42.75,0.0,top
SW34,109.75,21.375,0.0,top
SW35,90.75,21.375,0.0,top
SW36,71.75,26.125,0.0,top
SW37,52.75,28.5,0.0,top
SW38,33.75,26.125,0.0,top
SW39,14.75,23.75,0.0,top
SW4,-89.757,66.495,0.0,top
SW40,43.25,6.5,0.0,top
SW41,22.25,3.75,15.0,top
SW42,1.6,-3.0,300.0,top
SW43,-111.857,14.02,0.0,top
SW44,70.993,14.02,0.0,top
SW5,-70.757,64.12,0.0,top
SW6,-51.757,61.745,0.0,top
SW7,-146.757,40.37,0.0,top
SW8,-127.757,40.37,0.0,top
SW9,-108.757,45.12,0.0,top
U1,-32.0506,50.508,0.0,top
U2,-4.877,50.538,0.0,top
U3,-46.757,10.975,0.0,top
U5,9.043,8.675,0.0,top
