Designator,Mid X,Mid Y,Rotation,Layer
D1,-147.057,62.37,0.0,top
D10,-90.057,50.47,0.0,top
D11,-71.057,48.17,0.0,top
D12,-51.957,45.77,0.0,top
D13,-147.057,24.47,0.0,top
D14,-128.057,24.37,0.0,top
D15,-109.057,29.17,0.0,top
D16,-90.057,31.47,0.0,top
D17,-70.957,29.17,0.0,top
D18,-51.957,26.77,0.0,top
D19,-80.557,9.47,0.0,top
D2,-127.857,62.37,0.0,top
D20,-58.757,6.67,345.0,top
D21,-41.257,-1.63,60.0,top
D22,109.543,62.47,0.0,top
D23,90.543,62.37,0.0,top
D24,71.443,67.07,0.0,top
D25,52.543,69.57,0.0,top
D26,33.543,67.17,0.0,top
D27,14.543,64.77,0.0,top
D28,109.543,43.37,0.0,top
D29,90.443,43.37,0.0,top
D3,-108.957,67.17,0.0,top
D30,71.543,48.17,0.0,top
D31,52.443,50.47,0.0,top
D32,33.543,48.17,0.0,top
D33,14.443,45.77,0.0,top
D34,109.543,24.37,0.0,top
D35,90.443,24.37,0.0,top
D36,71.543,29.17,0.0,top
D37,52.543,31.47,0.0,top
D38,33.543,29.17,0.0,top
D39,14.443,26.77,0.0,top
D4,-89.857,69.57,0.0,top
D40,43.043,9.57,0.0,top
D41,21.243,6.57,15.0,top
D42,4.043,-1.33,300.0,top
D5,-70.937,67.17,0.0,top
D6,-51.857,64.77,0.0,top
D7,-146.957,43.47,0.0,top
D8,-128.057,43.37,0.0,top
D9,-108.957,48.17,0.0,top
MOUSE-BITE-2MM-SLOT_8,-146.657,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_7,109.743,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_6,-108.757,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_5,71.893,11.77,0.0,top
MOUSE-BITE-2MM-SLOT_4,34.018,73.47,0.0,top
MOUSE-BITE-2MM-SLOT_3,72.093,73.52,0.0,top
MOUSE-BITE-2MM-SLOT_2,-70.857,73.47,0.0,top
MOUSE-BITE-2MM-SLOT,-108.757,73.47,0.0,top
RSW1,-94.157,13.47,126.0,top
RSW2,57.343,13.27,231.0,top
SW1,-146.757,59.37,0.0,top
SW10,-89.757,47.495,0.0,top
SW11,-70.757,45.12,0.0,top
SW12,-51.757,42.745,0.0,top
SW13,-146.757,21.37,0.0,top
SW14,-127.757,21.37,0.0,top
SW15,-108.757,26.12,0.0,top
SW16,-89.757,28.495,0.0,top
SW17,-70.757,26.12,0.0,top
SW18,-51.757,23.745,0.0,top
SW19,-80.257,6.495,0.0,top
SW2,-127.757,59.37,0.0,top
SW20,-59.257,3.745,345.0,top
SW21,-38.607,-3.005,60.0,top
SW22,109.75,59.375,0.0,top
SW23,90.75,59.375,0.0,top
SW24,71.75,64.125,0.0,top
SW25,52.75,66.5,0.0,top
SW26,33.75,64.125,0.0,top
SW27,14.743,61.745,0.0,top
SW28,109.75,40.375,0.0,top
SW29,90.75,40.375,0.0,top
SW3,-108.757,64.12,0.0,top
SW30,71.75,45.125,0.0,top
SW31,52.75,47.5,0.0,top
SW32,33.75,45.125,0.0,top
SW33,14.75,42.75,0.0,top
SW34,109.75,21.375,0.0,top
SW35,90.75,21.375,0.0,top
SW36,71.75,26.125,0.0,top
SW37,52.75,28.5,0.0,top
SW38,33.75,26.125,0.0,top
SW39,14.75,23.75,0.0,top
SW4,-89.757,66.495,0.0,top
SW40,43.25,6.5,0.0,top
SW41,22.25,3.75,15.0,top
SW42,1.6,-3.0,300.0,top
SW43,-111.857,14.02,0.0,top
SW44,70.993,14.02,0.0,top
SW5,-70.757,64.12,0.0,top
SW6,-51.757,61.745,0.0,top
SW7,-146.757,40.37,0.0,top
SW8,-127.757,40.37,0.0,top
SW9,-108.757,45.12,0.0,top
U1,-32.0506,50.508,0.0,top
U2,-4.877,50.538,0.0,top
U3,-46.757,10.975,0.0,top
U5,9.043,8.675,0.0,top
